"dataset_openml_id","dataset_name","num_instances","num_attributes","dimensionality","numeric_attr_num","numeric_attr_pct","nominal_attr_num","nominal_attr_pct","other_attr_num","other_attr_pct","numeric_to_nominal_num","nominal_to_numeric_num","nominal_values_avg","nominal_values_std","nominal_values_min","nominal_values_max","numeric_mean_avg","numeric_mean_std","numeric_mean_min","numeric_mean_max","min_numeric_value_min","min_numeric_value_max","min_numeric_value_avg","min_numeric_value_std","max_numeric_value_min","max_numeric_value_max","max_numeric_value_avg","max_numeric_value_std","numeric_std_avg","numeric_std_std","numeric_std_min","numeric_std_max","numeric_range_avg","numeric_range_std","numeric_range_min","numeric_range_max","numeric_coofvar_avg","numeric_coofvar_std","numeric_coofvar_min","numeric_coofvar_max","missing_attr_cnt","missing_attr_pct","missing_instances_max_cnt","missing_instances_max_pct","missing_instances_min_cnt","missing_instances_min_pct","missing_instances_mean","missing_instances_mean_pct"
13,"breast-cancer",286,10,3.4965034965035,0,0,10,100,0,0,0,0,4.3,2.83019433961698,2,11,NaN,NaN,0,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,2,20,8,2.7972027972028,1,0.34965034965035,0.9,0.314685314685315
15,"breast-w",699,10,1.43061516452074,0,0,10,100,0,0,9,0,9.1,2.38537208837531,2,10,NaN,NaN,0,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,1,10,16,2.28898426323319,16,2.28898426323319,1.6,0.228898426323319
21,"car",1728,7,0.405092592592593,0,0,7,100,0,0,0,0,3.57142857142857,0.494871659305393,3,4,NaN,NaN,0,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0
37,"diabetes",768,9,1.171875,8,88.8888888888889,1,11.1111111111111,0,0,0,0,2,0,2,2,44.9857911783854,38.9462351213764,0.471876302083333,120.89453125,0,21,2.63475,6.94145899199153,2.42,846,179.19,258.478194825018,25.7337429754516,35.083243068016,0.331328595012775,115.244002351338,176.55525,259.572929189346,2.342,846,0.562506421995852,0.28882392322415,0.246437167069524,1,0,0,0,0,0,0,0,0
48,"tae",151,6,3.97350993377483,3,50,3,50,0,0,0,0,2.33333333333333,0.471404520791032,2,3,16.5386313465784,8.32351247979283,8.10596026490066,27.8675496688742,1,3,1.66666666666667,0.942809041582063,25,66,39,19.09624744987,8.91448370924767,2.81493456002957,6.82577895028441,12.8937584366435,37.3333333333333,18.1536650722535,24,63,0.609842826112352,0.182142592998075,0.462680019946097,0.866512234365256,0,0,0,0,0,0,0,0
50,"tic-tac-toe",958,10,1.04384133611691,0,0,10,100,0,0,0,0,2.9,0.3,2,3,NaN,NaN,0,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0
61,"iris",150,5,3.33333333333333,4,80,1,20,0,0,0,0,3,0,3,3,3.46366666666667,1.66191833600678,1.19866666666667,5.84333333333334,0.1,4.3,1.85,1.56604597633658,2.5,7.9,5.425,2.11586270821148,0.947310400248285,0.494899812460441,0.433594311362174,1.76442041995226,3.575,1.42894191624432,2.4,5.9,0.347447261459445,0.213937733375581,0.14171125977944,0.63667470108524,0,0,0,0,0,0,0,0
214,"baskball",96,5,5.20833333333333,3,60,2,40,0,0,2,0,14,1,13,15,8.84197708333333,12.0936837075446,0.161288541666667,25.944375,0.0494,10.08,3.42956666666667,4.70278053519641,0.3437,40.71,13.9609333333333,18.9154844672001,2.92992230329086,4.02432757164004,0.0597930938976307,8.62111041968615,10.5313666666667,14.2127066730991,0.2943,30.63,0.320682271116106,0.0463294949211006,0.259033454462955,0.370721275546061,0,0,0,0,0,0,0,0
223,"stock",950,10,1.05263157894737,10,100,0,0,0,0,0,0,NaN,NaN,0,0,41.6100591578947,15.6530409346713,18.7044736842105,70.6734210526315,12.75,58,26.5344,13.1167240666258,25.125,94.125,56.7875,21.5257875872173,7.08574777290726,3.64401961329173,2.73036379363007,14.2994118599852,30.2531,15.572391803766,12.375,66.375,0.173544762594129,0.0669355968451675,0.0958366034655503,0.283707220303042,0,0,0,0,0,0,0,0
455,"cars",406,9,2.21674876847291,6,66.6666666666667,3,33.3333333333333,0,0,0,0,106.666666666667,145.194888186725,3,312,565.705218219587,1081.07287888655,15.5197044334975,2979.41379310345,8,1613,302.333333333333,586.674431766793,24.8,5140,996.4,1858.859768783,167.510607712718,305.955403028324,2.80335881634255,847.004328239351,694.066666666667,1273.76232564094,12,3527,0.292382147354315,0.152602688397977,0.0493766987495161,0.538672847314729,2,22.2222222222222,8,1.97044334975369,6,1.47783251231527,1.55555555555556,0.383141762452107
549,"strikes",625,7,1.12,7,100,0,0,0,0,0,0,NaN,NaN,0,0,332.935689142857,675.047436060069,0.456,1967.88,-2.9,1951,279.608571428571,682.349964993427,1,7000,1303.88571428571,2421.53915777818,85.2887877727749,194.110639735338,0.312201780781399,560.660459097012,1024.27714285714,2439.66125851061,1,7000,0.597677554834678,0.315526311313925,0.00511068162500505,1,0,0,0,0,0,0,0,0
841,"stock",950,10,1.05263157894737,9,90,1,10,0,0,0,0,2,0,2,2,41.0118347368421,16.390947311143,18.7044736842105,70.6734210526315,12.75,58,25.7048888888889,13.5751264405361,25.125,94.125,56.2083333333333,22.6161354641622,7.14645089823359,3.83633434952854,2.73036379363007,14.2994118599852,30.5034444444444,16.3956408645111,12.375,66.375,0.177365945237374,0.0695138770628769,0.0958366034655503,0.283707220303042,0,0,0,0,0,0,0,0
967,"cars",406,9,2.21674876847291,6,66.6666666666667,3,33.3333333333333,0,0,0,0,106.333333333333,145.433451753333,2,312,565.705218219587,1081.07287888655,15.5197044334975,2979.41379310345,8,1613,302.333333333333,586.674431766793,24.8,5140,996.4,1858.859768783,167.510607712718,305.955403028324,2.80335881634255,847.004328239351,694.066666666667,1273.76232564094,12,3527,0.292382147354315,0.152602688397977,0.0493766987495161,0.538672847314729,2,22.2222222222222,8,1.97044334975369,6,1.47783251231527,1.55555555555556,0.383141762452107
