"dataset_openml_id","dataset_name","attr_name","type_converted","distinct_values_cnt","distinct_values_pct","missing_values_cnt","missing_values_pct","val_size_min","val_size_max","val_size_avg","val_size_std","val_cnt_min","val_cnt_max","val_cnt_median","val_cnt_std","val_pct_min","val_pct_max","val_pct_median","val_pct_std","attr_values"
1,"anneal","family",0,3,0.00334076,0,0,1,2,1.9,0.316228,0,772,0,241.135,0,85.97,0,26.8528,"?|GB|GK|GS|TN|ZA|ZF|ZH|ZM|ZS"
1,"anneal","product-type",0,1,0.00111359,0,0,1,1,1,0,0,898,0,518.461,0,100,0,57.735,"C|H|G"
1,"anneal","steel",0,8,0.00890869,0,0,1,1,1,0,0,440,20,150.27,0,49,2.23,16.7347,"?|R|A|U|K|M|S|W|V"
1,"anneal","carbon",1,10,0.0111359,0,0,1,2,1.5,0.527046,1,821,8,257.002,0.11,91.43,0.89,28.621,"0|3|4|6|8|10|45|55|65|70"
1,"anneal","hardness",1,7,0.0077951,0,0,1,2,1.85714,0.377964,5,721,34,261.867,0.56,80.29,3.79,29.1601,"0|45|50|60|70|80|85"
1,"anneal","temper_rolling",0,2,0.00222717,0,0,1,1,1,0,137,761,449,441.235,15.26,84.74,50,49.1298,"?|T"
1,"anneal","condition",0,3,0.00334076,0,0,1,1,1,0,0,555,171.5,258.091,0,61.8,19.095,28.7398,"?|S|A|X"
1,"anneal","formability",0,5,0.00556793,0,0,1,1,1,0,0,378,95.5,162.777,0,42.09,10.635,18.1255,"?|1|2|3|4|5"
1,"anneal","strength",1,8,0.00890869,0,0,1,3,2.75,0.707107,1,834,10,291.71,0.11,92.87,1.11,32.4837,"0|300|310|350|400|500|600|700"
1,"anneal","non-ageing",0,2,0.00222717,0,0,1,1,1,0,105,793,449,486.489,11.69,88.31,50,54.1785,"?|N"
1,"anneal","surface-finish",0,2,0.00222717,0,0,1,1,1,0,0,889,9,510.686,0,99,1,56.8712,"?|P|M"
1,"anneal","surface-quality",0,5,0.00556793,0,0,1,1,1,0,55,310,229,115.565,6.12,34.52,25.5,12.8702,"?|D|E|F|G"
1,"anneal","enamelability",0,3,0.00334076,0,0,1,1,1,0,0,882,3,358.792,0,98.22,0.335,39.9554,"?|1|2|3|4|5"
1,"anneal","bc",0,2,0.00222717,0,0,1,1,1,0,1,897,449,633.568,0.11,99.89,50,70.5551,"?|Y"
1,"anneal","bf",0,2,0.00222717,0,0,1,1,1,0,129,769,449,452.548,14.37,85.63,50,50.3884,"?|Y"
1,"anneal","bt",0,2,0.00222717,0,0,1,1,1,0,74,824,449,530.33,8.24,91.76,50,59.0576,"?|Y"
1,"anneal","bw%2Fme",0,3,0.00334076,0,0,1,1,1,0,52,687,159,339.965,5.79,76.5,17.71,37.8555,"?|B|M"
1,"anneal","bl",0,2,0.00222717,0,0,1,1,1,0,149,749,449,424.264,16.59,83.41,50,47.2489,"?|Y"
1,"anneal","m",0,1,0.00111359,0,0,1,1,1,0,0,898,449,634.982,0,100,50,70.7107,"?|Y"
1,"anneal","chrom",0,2,0.00222717,0,0,1,1,1,0,26,872,449,598.212,2.9,97.1,50,66.6095,"?|C"
1,"anneal","phos",0,2,0.00222717,0,0,1,1,1,0,7,891,449,625.082,0.78,99.22,50,69.6076,"?|P"
1,"anneal","cbond",0,2,0.00222717,0,0,1,1,1,0,74,824,449,530.33,8.24,91.76,50,59.0576,"?|Y"
1,"anneal","marvi",0,1,0.00111359,0,0,1,1,1,0,0,898,449,634.982,0,100,50,70.7107,"?|Y"
1,"anneal","exptl",0,2,0.00222717,0,0,1,1,1,0,2,896,449,632.153,0.22,99.78,50,70.3996,"?|Y"
1,"anneal","ferro",0,2,0.00222717,0,0,1,1,1,0,30,868,449,592.555,3.34,96.66,50,65.9872,"?|Y"
1,"anneal","corr",0,1,0.00111359,0,0,1,1,1,0,0,898,449,634.982,0,100,50,70.7107,"?|Y"
1,"anneal","blue%2Fbright%2Fvarn%2Fclean",0,4,0.00445434,0,0,1,1,1,0,0,892,1,398.247,0,99.33,0.11,44.3471,"?|B|R|V|C"
1,"anneal","lustre",0,2,0.00222717,0,0,1,1,1,0,51,847,449,562.857,5.68,94.32,50,62.6779,"?|Y"
1,"anneal","jurofm",0,1,0.00111359,0,0,1,1,1,0,0,898,449,634.982,0,100,50,70.7107,"?|Y"
1,"anneal","s",0,1,0.00111359,0,0,1,1,1,0,0,898,449,634.982,0,100,50,70.7107,"?|Y"
1,"anneal","p",0,1,0.00111359,0,0,1,1,1,0,0,898,449,634.982,0,100,50,70.7107,"?|Y"
1,"anneal","shape",0,2,0.00222717,0,0,4,5,4.5,0.707107,412,486,449,52.3259,45.88,54.12,50,5.82656,"COIL|SHEET"
1,"anneal","oil",0,3,0.00334076,0,0,1,1,1,0,22,834,42,463.143,2.45,92.87,4.68,51.5723,"?|Y|N"
1,"anneal","bore",0,3,0.00334076,0,0,1,3,2.5,1,0,854,22,419.891,0,95.1,2.445,46.7599,"0|500|600|760"
1,"anneal","packing",0,3,0.00334076,0,0,1,1,1,0,0,889,4.5,443.014,0,99,0.5,49.3349,"?|1|2|3"
1,"anneal","class",0,5,0.00556793,0,0,1,1,1,0,0,684,53.5,264.352,0,76.17,5.955,29.4388,"1|2|3|4|5|U"
3,"kr-vs-kp","bkblk",0,2,0.000625782,0,0,1,1,1,0,357,2839,1598,1755.04,11.17,88.83,50,54.9139,"t|f"
3,"kr-vs-kp","bknwy",0,2,0.000625782,0,0,1,1,1,0,225,2971,1598,1941.72,7.04,92.96,50,60.7546,"t|f"
3,"kr-vs-kp","bkon8",0,2,0.000625782,0,0,1,1,1,0,120,3076,1598,2090.21,3.75,96.25,50,65.4074,"t|f"
3,"kr-vs-kp","bkona",0,2,0.000625782,0,0,1,1,1,0,322,2874,1598,1804.54,10.08,89.92,50,56.4554,"t|f"
3,"kr-vs-kp","bkspr",0,2,0.000625782,0,0,1,1,1,0,1067,2129,1598,750.947,33.39,66.61,50,23.4901,"t|f"
3,"kr-vs-kp","bkxbq",0,2,0.000625782,0,0,1,1,1,0,1474,1722,1598,175.362,46.12,53.88,50,5.48715,"t|f"
3,"kr-vs-kp","bkxcr",0,2,0.000625782,0,0,1,1,1,0,1170,2026,1598,605.283,36.61,63.39,50,18.9363,"t|f"
3,"kr-vs-kp","bkxwp",0,2,0.000625782,0,0,1,1,1,0,696,2500,1598,1275.62,21.78,78.22,50,39.9091,"t|f"
3,"kr-vs-kp","blxwp",0,2,0.000625782,0,0,1,1,1,0,1216,1980,1598,540.23,38.05,61.95,50,16.8999,"t|f"
3,"kr-vs-kp","bxqsq",0,2,0.000625782,0,0,1,1,1,0,971,2225,1598,886.712,30.38,69.62,50,27.7469,"t|f"
3,"kr-vs-kp","cntxt",0,2,0.000625782,0,0,1,1,1,0,1379,1817,1598,309.713,43.15,56.85,50,9.68736,"t|f"
3,"kr-vs-kp","dsopp",0,2,0.000625782,0,0,1,1,1,0,336,2860,1598,1784.74,10.51,89.49,50,55.8473,"t|f"
3,"kr-vs-kp","dwipd",0,2,0.000625782,0,0,1,1,1,0,991,2205,1598,858.428,31.01,68.99,50,26.8559,"g|l"
3,"kr-vs-kp","hdchk",0,2,0.000625782,0,0,1,1,1,0,15,3181,1598,2238.7,0.47,99.53,50,70.046,"t|f"
3,"kr-vs-kp","katri",0,3,0.000938673,0,0,1,1,1,0,224,2526,446,1269.84,7.01,79.04,13.95,39.7349,"b|n|w"
3,"kr-vs-kp","mulch",0,2,0.000625782,0,0,1,1,1,0,156,3040,1598,2039.3,4.88,95.12,50,63.8093,"t|f"
3,"kr-vs-kp","qxmsq",0,2,0.000625782,0,0,1,1,1,0,97,3099,1598,2122.73,3.04,96.96,50,66.4115,"t|f"
3,"kr-vs-kp","r2ar8",0,2,0.000625782,0,0,1,1,1,0,1000,2196,1598,845.7,31.29,68.71,50,26.4599,"t|f"
3,"kr-vs-kp","reskd",0,2,0.000625782,0,0,1,1,1,0,26,3170,1598,2223.14,0.81,99.19,50,69.5652,"t|f"
3,"kr-vs-kp","reskr",0,2,0.000625782,0,0,1,1,1,0,482,2714,1598,1578.26,15.08,84.92,50,49.3843,"t|f"
3,"kr-vs-kp","rimmx",0,2,0.000625782,0,0,1,1,1,0,584,2612,1598,1434.01,18.27,81.73,50,44.873,"t|f"
3,"kr-vs-kp","rkxwp",0,2,0.000625782,0,0,1,1,1,0,640,2556,1598,1354.82,20.03,79.97,50,42.384,"t|f"
3,"kr-vs-kp","rxmsq",0,2,0.000625782,0,0,1,1,1,0,183,3013,1598,2001.11,5.73,94.27,50,62.6072,"t|f"
3,"kr-vs-kp","simpl",0,2,0.000625782,0,0,1,1,1,0,1221,1975,1598,533.159,38.2,61.8,50,16.6877,"t|f"
3,"kr-vs-kp","skach",0,2,0.000625782,0,0,1,1,1,0,11,3185,1598,2244.36,0.34,99.66,50,70.2299,"t|f"
3,"kr-vs-kp","skewr",0,2,0.000625782,0,0,1,1,1,0,980,2216,1598,873.984,30.66,69.34,50,27.3509,"t|f"
3,"kr-vs-kp","skrxp",0,2,0.000625782,0,0,1,1,1,0,175,3021,1598,2012.43,5.48,94.52,50,62.9608,"t|f"
3,"kr-vs-kp","spcop",0,2,0.000625782,0,0,1,1,1,0,1,3195,1598,2258.5,0.03,99.97,50,70.6683,"t|f"
3,"kr-vs-kp","stlmt",0,2,0.000625782,0,0,1,1,1,0,47,3149,1598,2193.45,1.47,98.53,50,68.6318,"t|f"
3,"kr-vs-kp","thrsk",0,2,0.000625782,0,0,1,1,1,0,136,3060,1598,2067.58,4.26,95.74,50,64.6861,"t|f"
3,"kr-vs-kp","wkcti",0,2,0.000625782,0,0,1,1,1,0,565,2631,1598,1460.88,17.68,82.32,50,45.7074,"t|f"
3,"kr-vs-kp","wkna8",0,2,0.000625782,0,0,1,1,1,0,175,3021,1598,2012.43,5.48,94.52,50,62.9608,"t|f"
3,"kr-vs-kp","wknck",0,2,0.000625782,0,0,1,1,1,0,1212,1984,1598,545.886,37.92,62.08,50,17.0837,"t|f"
3,"kr-vs-kp","wkovl",0,2,0.000625782,0,0,1,1,1,0,1189,2007,1598,578.413,37.2,62.8,50,18.1019,"t|f"
