"dataset_openml_id","dataset_name","attr_name","type_converted","distinct_values_cnt","distinct_values_pct","missing_values_cnt","missing_values_pct","mean","sd","min_val","max_val","range_val","co_of_var"
1,"anneal","thick",0,50,0.0556793,0,0,1.19854899777283,0.871208280971893,0.24,4,3.76,0.726885828273014
1,"anneal","width",0,68,0.0757238,0,0,780.653340757238,405.345687963069,0,1525,1525,0.519239035818231
1,"anneal","len",0,24,0.0267261,0,0,1263.09465478842,1871.39910726659,0,4880,4880,1
6,"letter","x-box",0,16,0.0008,0,0,4.02355,1.91321154513055,0,15,15,0.47550336024917
6,"letter","y-box",0,16,0.0008,0,0,7.0355,3.30455530356018,0,15,15,0.46969729280935
6,"letter","width",0,16,0.0008,0,0,5.12185,2.01457328056716,0,15,15,0.393329222950138
6,"letter","high",0,16,0.0008,0,0,5.37245,2.26139043330306,0,15,15,0.420923495482146
6,"letter","onpix",0,16,0.0008,0,0,3.50585,2.19045787057961,0,15,15,0.624800795978038
6,"letter","x-bar",0,16,0.0008,0,0,6.8976,2.02603540960518,0,15,15,0.293730487358673
6,"letter","y-bar",0,16,0.0008,0,0,7.50045,2.3253537711514,0,15,15,0.310028567772787
6,"letter","x2bar",0,16,0.0008,0,0,4.6286,2.69996787598048,0,15,15,0.58332279220077
6,"letter","y2bar",0,16,0.0008,0,0,5.17865,2.3808228815642,0,15,15,0.459738132826934
6,"letter","xybar",0,16,0.0008,0,0,8.28205,2.48847491907617,0,15,15,0.300466058412611
6,"letter","x2ybr",0,16,0.0008,0,0,6.454,2.63107014853392,0,15,15,0.407665036959083
6,"letter","xy2br",0,16,0.0008,0,0,7.929,2.08061900615476,0,15,15,0.262406231070093
6,"letter","x-ege",0,16,0.0008,0,0,3.0461,2.33254085223418,0,15,15,0.765746643982201
6,"letter","xegvy",0,16,0.0008,0,0,8.33885,1.5467224363197,0,15,15,0.18548390201523
6,"letter","y-ege",0,16,0.0008,0,0,3.69175,2.56707254096403,0,15,15,0.695353840580763
6,"letter","yegvx",0,16,0.0008,0,0,7.8012,1.61747005241783,0,15,15,0.20733605758317
8,"liver-disorders","mcv",0,26,0.0753623,0,0,90.1594202898551,4.44809597496435,65,103,38,0.049335898130934
8,"liver-disorders","alkphos",0,78,0.226087,0,0,69.8695652173913,18.347670344702,23,138,115,0.262598891056718
8,"liver-disorders","sgpt",0,67,0.194203,0,0,30.4057971014493,19.5123089062792,4,155,151,0.641729892532537
8,"liver-disorders","sgot",0,47,0.136232,0,0,24.6434782608696,10.0644937467396,5,82,77,0.408403945262897
8,"liver-disorders","gammagt",0,94,0.272464,0,0,38.2840579710145,39.2546161675509,5,297,292,1
8,"liver-disorders","drinks",0,16,0.0463768,0,0,3.45507246376812,3.33783526457713,0,20,20,0.966068092516031
12,"mfeat-factors","att1",0,390,0.195,0,0,272.0515,91.2754537210087,67,515,448,0.335507996541128
